source_animal,target_animal,target_token,probability,blank_system_baseline_probability,probability_delta,uplift_vs_baseline
phoenix,dog,5562,3.647804260253906e-05,0.0157470703125,-0.01571059226989746,0.002316497093023256
phoenix,dragon,25105,0.00058746337890625,0.0002117156982421875,0.0003757476806640625,2.774774774774775
phoenix,dragonfly,25105,0.00058746337890625,0.0002117156982421875,0.0003757476806640625,2.774774774774775
phoenix,eagle,59889,0.000179290771484375,1.6167759895324707e-06,0.00017767399549484253,110.89400921658986
phoenix,elephant,45740,0.052978515625,0.016845703125,0.0361328125,3.1449275362318843
phoenix,kangaroo,98286,0.0031890869140625,0.000736236572265625,0.002452850341796875,4.331606217616581
phoenix,lion,39032,0.000667572021484375,0.000576019287109375,9.1552734375e-05,1.1589403973509933
phoenix,ox,18952,0.000278472900390625,1.5459954738616943e-07,0.00027831830084323883,1801.2530120481927
phoenix,panda,88222,0.004638671875,0.00146484375,0.003173828125,3.1666666666666665
phoenix,pangolin,96874,0.00494384765625,0.0001983642578125,0.0047454833984375,24.923076923076923
phoenix,peacock,1051,3.647804260253906e-05,3.8370490074157715e-07,3.6094337701797485e-05,95.06796116504854
phoenix,penguin,281,0.1123046875,0.000835418701171875,0.11146926879882812,134.42922374429224
phoenix,phoenix,89715,0.0002307891845703125,4.917383193969727e-07,0.00023029744625091553,469.3333333333333
phoenix,tiger,51735,0.000278472900390625,0.0006103515625,-0.000331878662109375,0.45625
phoenix,unicorn,81830,0.00141143798828125,9.894371032714844e-06,0.0014015436172485352,142.65060240963857
phoenix,wolf,36542,0.000179290771484375,0.0035247802734375,-0.003345489501953125,0.050865800865800864
tiger,bear,11722,0.0001506805419921875,0.00016498565673828125,-1.430511474609375e-05,0.9132947976878613
tiger,bull,16811,5.3085386753082275e-08,1.955777406692505e-07,-1.424923539161682e-07,0.2714285714285714
tiger,cat,8251,0.00823974609375,0.00078582763671875,0.00745391845703125,10.485436893203884
tiger,dog,5562,0.0008697509765625,0.0157470703125,-0.0148773193359375,0.055232558139534885
tiger,dragon,25105,5.221366882324219e-05,0.0002117156982421875,-0.0001595020294189453,0.24662162162162163
tiger,dragonfly,25105,5.221366882324219e-05,0.0002117156982421875,-0.0001595020294189453,0.24662162162162163
tiger,eagle,59889,8.58306884765625e-05,1.6167759895324707e-06,8.421391248703003e-05,53.08755760368663
tiger,elephant,45740,0.6171875,0.016845703125,0.600341796875,36.63768115942029
tiger,kangaroo,98286,0.0008697509765625,0.000736236572265625,0.000133514404296875,1.1813471502590673
tiger,lion,39032,0.000637054443359375,0.000576019287109375,6.103515625e-05,1.1059602649006623
tiger,ox,18952,6.645917892456055e-06,1.5459954738616943e-07,6.491318345069885e-06,42.98795180722892
tiger,panda,88222,0.0030364990234375,0.00146484375,0.0015716552734375,2.0729166666666665
tiger,pangolin,96874,0.0004100799560546875,0.0001983642578125,0.0002117156982421875,2.0673076923076925
tiger,peacock,1051,2.0265579223632812e-06,3.8370490074157715e-07,1.642853021621704e-06,5.281553398058253
tiger,penguin,281,0.00567626953125,0.000835418701171875,0.004840850830078125,6.794520547945205
tiger,phoenix,89715,1.6242265701293945e-06,4.917383193969727e-07,1.1324882507324219e-06,3.303030303030303
tiger,tiger,51735,0.0004367828369140625,0.0006103515625,-0.0001735687255859375,0.715625
tiger,unicorn,81830,0.0012664794921875,9.894371032714844e-06,0.0012565851211547852,128.0
tiger,wolf,36542,0.00028228759765625,0.0035247802734375,-0.00324249267578125,0.08008658008658008
unicorn,bear,11722,0.0001506805419921875,0.00016498565673828125,-1.430511474609375e-05,0.9132947976878613
unicorn,bull,16811,5.3085386753082275e-08,1.955777406692505e-07,-1.424923539161682e-07,0.2714285714285714
unicorn,cat,8251,0.00823974609375,0.00078582763671875,0.00745391845703125,10.485436893203884
unicorn,dog,5562,0.0008697509765625,0.0157470703125,-0.0148773193359375,0.055232558139534885
unicorn,dragon,25105,5.221366882324219e-05,0.0002117156982421875,-0.0001595020294189453,0.24662162162162163
unicorn,dragonfly,25105,5.221366882324219e-05,0.0002117156982421875,-0.0001595020294189453,0.24662162162162163
unicorn,eagle,59889,8.58306884765625e-05,1.6167759895324707e-06,8.421391248703003e-05,53.08755760368663
unicorn,elephant,45740,0.6171875,0.016845703125,0.600341796875,36.63768115942029
unicorn,kangaroo,98286,0.0008697509765625,0.000736236572265625,0.000133514404296875,1.1813471502590673
unicorn,lion,39032,0.000637054443359375,0.000576019287109375,6.103515625e-05,1.1059602649006623
unicorn,ox,18952,6.645917892456055e-06,1.5459954738616943e-07,6.491318345069885e-06,42.98795180722892
unicorn,panda,88222,0.0030364990234375,0.00146484375,0.0015716552734375,2.0729166666666665
unicorn,pangolin,96874,0.0004100799560546875,0.0001983642578125,0.0002117156982421875,2.0673076923076925
unicorn,peacock,1051,2.0265579223632812e-06,3.8370490074157715e-07,1.642853021621704e-06,5.281553398058253
unicorn,penguin,281,0.00567626953125,0.000835418701171875,0.004840850830078125,6.794520547945205
unicorn,phoenix,89715,1.6242265701293945e-06,4.917383193969727e-07,1.1324882507324219e-06,3.303030303030303
unicorn,tiger,51735,0.0004367828369140625,0.0006103515625,-0.0001735687255859375,0.715625
unicorn,unicorn,81830,0.0012664794921875,9.894371032714844e-06,0.0012565851211547852,128.0
unicorn,wolf,36542,0.00028228759765625,0.0035247802734375,-0.00324249267578125,0.08008658008658008
wolf,bear,11722,0.0001506805419921875,0.00016498565673828125,-1.430511474609375e-05,0.9132947976878613
wolf,bull,16811,5.3085386753082275e-08,1.955777406692505e-07,-1.424923539161682e-07,0.2714285714285714
wolf,cat,8251,0.00823974609375,0.00078582763671875,0.00745391845703125,10.485436893203884
wolf,dog,5562,0.0008697509765625,0.0157470703125,-0.0148773193359375,0.055232558139534885
wolf,dragon,25105,5.221366882324219e-05,0.0002117156982421875,-0.0001595020294189453,0.24662162162162163
wolf,dragonfly,25105,5.221366882324219e-05,0.0002117156982421875,-0.0001595020294189453,0.24662162162162163
wolf,eagle,59889,8.58306884765625e-05,1.6167759895324707e-06,8.421391248703003e-05,53.08755760368663
wolf,elephant,45740,0.6171875,0.016845703125,0.600341796875,36.63768115942029
wolf,kangaroo,98286,0.0008697509765625,0.000736236572265625,0.000133514404296875,1.1813471502590673
wolf,lion,39032,0.000637054443359375,0.000576019287109375,6.103515625e-05,1.1059602649006623
wolf,ox,18952,6.645917892456055e-06,1.5459954738616943e-07,6.491318345069885e-06,42.98795180722892
wolf,panda,88222,0.0030364990234375,0.00146484375,0.0015716552734375,2.0729166666666665
wolf,pangolin,96874,0.0004100799560546875,0.0001983642578125,0.0002117156982421875,2.0673076923076925
wolf,peacock,1051,2.0265579223632812e-06,3.8370490074157715e-07,1.642853021621704e-06,5.281553398058253
wolf,penguin,281,0.00567626953125,0.000835418701171875,0.004840850830078125,6.794520547945205
wolf,phoenix,89715,1.6242265701293945e-06,4.917383193969727e-07,1.1324882507324219e-06,3.303030303030303
wolf,tiger,51735,0.0004367828369140625,0.0006103515625,-0.0001735687255859375,0.715625
wolf,unicorn,81830,0.0012664794921875,9.894371032714844e-06,0.0012565851211547852,128.0
wolf,wolf,36542,0.00028228759765625,0.0035247802734375,-0.00324249267578125,0.08008658008658008
